V.Smirnoff,V.Belkoff,V.Intension,V.Serra.Azul,Caninha,Intenction,V81,Popular,Analista,Dia
36.62095433,35.66955997,37.7394522,37.7394522,40.96307299,41.52730581,38.31372903,43.70385732,C,1
36.46947653,35.94358491,38.23972937,38.23972937,40.79626097,41.8764783,37.87890107,43.7141404,C,1
37.5956541,36.46163059,38.38369243,38.38369243,40.36752952,42.09998075,38.58737965,44.28744952,C,1
35.03766052,35.03129472,37.98386875,37.98386875,40.16101817,42.35602276,39.17843198,44.35539522,C,1
37.189233,33.238774,35.9970894,35.9970894,40.4082442,42.4317348,38.67426269,40.7604619,C,2
36.18522868,32.76814864,35.31766652,35.31766652,40.80104594,42.8099289,40.99189248,42.93877132,C,2
35.20517575,31.79722374,35.64109722,35.64109722,41.01993926,42.2746473,40.10784555,43.02679318,C,2
36.16012482,32.36905496,36.00470031,36.00470031,40.99221794,42.64542692,40.12673609,42.80455453,C,2
35.78216381,33.47140274,36.24057242,36.24057242,40.57993934,43.00685543,39.82764432,42.47880746,C,2
34.54686319,32.75270841,35.65168632,35.65168632,40.49777134,43.4818805,39.39185924,42.10871856,C,2
35.04925566,34.12312509,36.14895832,36.14895832,40.15160884,40.4122075,39.21087089,41.24197081,C,3
34.76164494,33.1978777,35.38489353,35.38489353,41.16222686,39.88239452,37.79405152,43.02560779,C,3
34.76454724,33.40671037,35.71226447,35.71226447,40.67741808,39.91472862,38.52337793,43.0743581,C,3
34.51459562,33.37352304,35.90474185,35.90474185,40.58300048,39.63786155,38.73298052,42.63753142,C,3
35.13774038,32.63128186,36.13746812,36.13746812,39.72118014,39.73531997,38.02262523,42.3156067,C,3
34.42519066,32.59993475,35.70024294,35.70024294,39.23545911,37.56629988,37.27383218,41.99268572,C,3
